Country Name,latitude,longitude
"Iran, Islamic Rep.",32.427908,53.688046
Iraq,33.223191,43.679291
Ireland,53.41291,-8.24389
Israel,31.046051,34.851612
Italy,41.87194,12.56738
Jamaica,18.109581,-77.297508
Japan,36.204824,138.252924
Jordan,30.585164,36.238414
Kazakhstan,48.019573,66.923684
Kenya,-0.023559,37.906193
Kiribati,-3.370417,-168.734039
"Korea, Dem. People��s Rep.",36.638392,127.6961188
"Korea, Rep.",40.339852,127.510093
Kosovo,42.602636,20.902977
Kuwait,29.31166,47.481766
Kyrgyz Republic,41.20438,74.766098
Lao PDR,19.85627,102.495496
Latvia,56.879635,24.603189
Lebanon,33.854721,35.862285
Lesotho,-29.609988,28.233608
Liberia,6.428055,-9.429499
Libya,26.3351,17.228331
Lithuania,55.169438,23.881275
Luxembourg,49.815273,6.129583
Madagascar,-18.766947,46.869107
Malawi,-13.254308,34.301525
Malaysia,4.210484,101.975766
Mali,17.570692,-3.996166
Mauritania,21.00789,-10.940835
Mauritius,-20.348404,57.552152
Mexico,23.634501,-102.552784
"Micronesia, Fed. Sts.",7.425554,150.550812
Moldova,47.411631,28.369885
Mongolia,46.862496,103.846656
Morocco,31.791702,-7.09262
Mozambique,14.641528,-61.024174
Myanmar,21.913965,95.956223
Namibia,-22.95764,18.49041
Nauru,-0.522778,166.931503
Nepal,28.394857,84.124008
Netherlands,52.132633,5.291266
New Zealand,-40.900557,174.885971
Nicaragua,12.865416,-85.207229
Niger,17.607789,8.081666
Nigeria,9.081999,8.675277
North Macedonia,41.608635,21.745275
Northern Mariana Islands,17.33083,145.38469
Norway,60.472024,8.468946
Oman,21.512583,55.923255
Pakistan,30.375321,69.345116
Panama,8.537981,-80.782127
Papua New Guinea,-6.314993,143.95555
Paraguay,-23.442503,-58.443832
Peru,-9.189967,-75.015152
Philippines,12.879721,121.774017
Poland,51.919438,19.145136
Portugal,39.399872,-8.224454
Puerto Rico,18.220833,-66.590149
Qatar,25.354826,51.183884
Romania,45.943161,24.96676
Russian Federation,61.52401,105.318756
Rwanda,-1.940278,29.873888
Samoa,-13.759029,-172.104629
Sao Tome and Principe,0.18636,6.613081
Saudi Arabia,23.885942,45.079162
Senegal,14.497401,-14.452362
Serbia,44.016521,21.005859
Seychelles,-4.679574,55.491977
Sierra Leone,8.460555,-11.779889
Singapore,1.352083,103.819836
Sint Maarten (Dutch part),52.7559345,4.7505476
Slovak Republic,48.669026,19.699024
Slovenia,46.151241,14.995463
Solomon Islands,-9.64571,160.156194
Somalia,5.152149,46.199616
Spain,40.463667,-3.74922
Sri Lanka,7.873054,80.771797
St. Kitts and Nevis,17.357822,-62.782998
St. Lucia,13.909444,-60.978893
St. Vincent and the Grenadines,12.984305,-61.287228
Sudan,12.862807,30.217636
Suriname,3.919305,-56.027783
Sweden,60.128161,18.643501
Switzerland,46.818188,8.227512
Syrian Arab Republic,34.6401861,39.0494106
Tajikistan,38.861034,71.276093
Tanzania,-6.369028,34.888822
Thailand,15.870032,100.992541
Timor-Leste,-8.874217,125.727539
Togo,8.619543,0.824782
Tonga,-21.178986,-175.198242
Trinidad and Tobago,10.691803,-61.222503
Tunisia,33.886917,9.537499
Turkey,38.963745,35.243322
Turkmenistan,38.969719,59.556278
Tuvalu,-7.109535,177.64933
Uganda,1.373333,32.290275
Ukraine,48.379433,31.16558
United Arab Emirates,24.0002488,53.9994829
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
Uruguay,-32.522779,-55.765835
Uzbekistan,41.377491,64.585262
Vanuatu,-15.376706,166.959158
"Venezuela, RB",-0.2234693,-78.5143554
Vietnam,14.058324,108.277199
Virgin Islands (U.S.),18.335765,-64.896335
West Bank and Gaza,31.5077213,34.4607415
"Yemen, Rep.",15.552727,48.516388
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
Arab World,25.22583,55.169788
Caribbean small states,44.21769,-112.384727
Central Europe and the Baltics,51.443089,-2.56778
Early-demographic dividend,14.671079,121.018265
East Asia & Pacific,14.41853,121.034859
